iter	RMSE
0	238319.1012
1	233123.6144
2	228147.4392
3	223566.5433
4	219390.3784
5	215157.6509
6	211627.014
7	208076.9901
8	204780.3428
9	201630.1374
10	198749.9201
11	196087.4662
12	193775.5466
13	191488.0274
14	189129.2854
15	186765.0857
16	184879.3871
17	182867.7559
18	181173.3199
19	179565.5077
20	178002.9789
21	176554.723
22	175124.376
23	173709.039
24	172468.6307
25	171208.8272
26	170121.8716
27	169007.3744
28	168035.0785
29	166955.2684
30	166000.9817
31	165075.7749
32	164129.2045
33	163328.6069
34	162608.0093
35	162067.4103
36	161378.1448
37	160673.5738
38	160191.6656
39	159431.6859
40	158899.9797
41	158268.7377
42	157765.6226
43	157223.2386
44	156616.3234
45	156234.696
46	155776.9677
47	155335.7081
48	154858.1186
49	154307.1281
50	153752.1766
51	153400.07
52	153108.5613
53	152790.6799
54	152525.5646
55	152235.963
56	152048.4991
57	151724.0933
58	151536.6297
59	151055.0997
60	150838.8889
61	150649.5879
62	150390.2075
63	150127.0861
64	149945.3067
65	149515.4559
66	149323.5718
67	149113.4569
68	148916.6038
69	148666.9204
70	148535.1649
71	148366.4155
72	148330.9219
73	148045.8518
74	147899.9524
75	147677.1623
76	147436.853
77	147213.2153
78	147117.2248
79	146956.3526
80	146689.3451
81	146426.865
82	146187.0786
83	146096.5102
84	145823.3947
85	145602.9407
86	145284.054
87	145182.8308
88	144909.5536
89	144681.6761
90	144524.4032
91	144381.6938
92	144173.9017
93	144050.8029
94	143772.9491
95	143608.8943
96	143349.0267
97	143251.5725
98	143194.1177
99	143035.7642
100	142724.429
101	142480.7471
102	142352.0993
103	142045.2427
104	141885.351
105	141685.9233
106	141536.5446
107	141307.2149
108	141098.6685
109	140975.6166
110	140813.8031
111	140648.9999
112	140477.455
113	140170.6576
114	139965.7351
115	139933.5691
116	139826.7595
117	139658.9616
118	139547.2921
119	139451.4538
120	139232.7822
121	139037.6757
122	138625.3446
123	138396.9554
124	138165.5157
125	137963.3302
126	137756.3273
127	137633.437
128	137299.541
129	137214.9956
130	136898.3888
131	136786.3067
132	136656.7252
133	136354.7436
134	136183.6229
135	135959.6829
136	135706.5079
137	135583.6979
138	135520.9986
139	135367.8515
140	135279.931
141	135190.5481
142	134967.2545
