iter	Passed	Remaining
0	0	473
1	1	437
2	2	422
3	3	417
4	4	417
5	5	422
6	5	416
7	6	418
8	7	418
9	8	413
10	9	407
11	9	405
12	10	400
13	11	396
14	12	393
15	13	397
16	13	394
17	14	391
18	15	389
19	16	389
20	16	386
21	17	387
22	18	386
23	19	384
24	20	383
25	21	383
26	21	382
27	22	380
28	23	378
29	24	376
30	24	374
31	25	373
32	26	371
33	27	371
34	28	372
35	28	373
36	29	373
37	30	373
38	31	374
39	32	373
40	33	371
41	34	370
42	34	371
43	35	371
44	36	370
45	37	369
46	38	367
47	39	367
48	39	366
49	40	365
50	41	363
51	42	362
52	42	361
53	43	360
54	44	359
55	45	358
56	45	357
57	46	356
58	47	355
59	48	354
60	49	354
61	50	355
62	51	355
63	52	354
64	52	353
65	53	353
66	54	353
67	55	354
68	56	353
69	57	352
70	58	351
71	58	349
72	59	345
73	59	344
74	60	343
75	61	343
76	62	342
77	63	341
78	63	339
79	64	339
80	65	339
81	66	338
82	67	336
83	67	335
84	68	335
85	70	338
86	71	337
87	71	336
88	72	335
89	73	334
90	74	333
91	74	332
92	75	332
93	76	331
94	77	330
95	78	329
96	79	328
97	79	327
98	80	327
99	81	326
100	82	325
101	83	324
102	83	323
103	84	322
104	85	322
105	86	321
106	87	320
107	87	319
108	88	317
109	89	316
110	90	315
111	90	314
112	91	313
113	92	312
114	93	312
115	94	311
116	94	310
117	95	309
118	96	308
119	97	307
120	97	306
121	98	305
122	99	305
123	100	304
124	101	303
125	101	302
126	102	301
127	103	300
128	104	299
129	104	298
130	105	297
131	106	296
132	107	295
133	107	294
134	108	293
135	109	293
136	110	293
137	111	292
138	112	291
139	113	290
140	114	290
141	114	289
142	115	288
143	116	288
144	117	287
145	119	289
146	120	288
147	121	287
148	121	287
149	122	286
150	123	285
151	124	284
152	125	284
153	126	283
154	127	282
155	127	281
156	132	289
157	138	298
158	140	302
159	148	314
160	153	323
161	156	326
162	158	327
163	160	329
164	161	328
165	162	327
166	163	325
167	164	325
168	165	324
169	166	323
170	168	324
171	170	324
172	172	326
173	174	326
174	174	324
175	175	323
176	176	322
177	177	321
178	178	320
179	179	318
180	180	317
181	181	316
182	181	314
183	182	313
184	183	311
185	183	310
186	184	309
187	185	307
188	186	306
189	186	304
190	187	303
191	188	302
192	189	301
193	190	299
194	190	298
195	191	297
196	192	296
197	194	295
198	194	294
199	195	293
200	196	292
201	197	291
202	198	289
203	199	289
204	200	288
205	200	286
206	201	285
207	202	284
208	203	283
209	204	281
210	204	280
211	205	279
212	206	278
213	207	277
214	208	276
215	209	275
216	209	273
217	210	272
218	212	272
219	213	271
220	214	270
221	214	268
222	215	267
223	216	266
224	217	265
225	217	264
226	218	262
227	219	261
228	219	260
229	220	259
230	221	258
231	222	256
232	223	255
233	223	254
234	224	253
235	225	252
236	226	251
237	226	249
238	227	248
239	228	247
240	229	246
241	230	245
242	230	244
243	231	243
244	232	241
245	233	240
246	234	239
247	234	238
248	235	237
249	236	236
250	237	235
251	237	234
252	238	233
253	239	232
254	240	230
255	241	229
256	241	228
257	242	227
258	243	226
259	244	225
260	245	224
261	245	223
262	246	222
263	247	221
264	247	219
265	248	218
266	249	217
267	250	216
268	250	215
269	251	214
270	252	213
271	253	212
272	254	211
273	255	210
274	255	209
275	256	208
276	257	207
277	258	206
278	259	205
279	260	204
280	261	203
281	262	202
282	262	201
283	263	200
284	264	199
285	265	198
286	265	197
287	266	196
288	267	195
289	268	194
290	269	193
291	269	192
292	270	191
293	271	190
294	272	189
295	273	188
296	274	187
297	274	186
298	276	185
299	277	185
300	278	184
301	279	183
302	281	182
303	282	181
304	282	180
305	283	179
306	284	178
307	285	177
308	286	176
309	286	175
310	287	174
311	288	173
312	289	172
313	289	171
314	290	170
315	291	169
316	292	168
317	293	167
318	294	166
319	294	165
320	295	164
321	296	163
322	297	162
323	297	161
324	298	160
325	299	159
326	300	158
327	300	157
328	302	157
329	303	156
330	303	155
331	304	154
332	305	153
333	306	152
334	307	151
335	307	150
336	308	149
337	309	148
338	310	147
339	310	146
340	311	145
341	312	144
342	313	143
343	313	142
344	314	141
345	315	140
346	316	139
347	316	138
348	317	137
349	318	136
350	319	135
351	319	134
352	320	133
353	321	132
354	322	131
355	322	130
356	323	129
357	324	128
358	325	127
359	326	126
360	326	125
361	327	124
362	328	123
363	329	122
364	329	121
365	330	121
366	331	120
367	332	119
368	332	118
369	333	117
370	334	116
371	335	115
372	335	114
373	336	113
374	337	112
375	337	111
376	338	110
377	339	109
378	340	108
379	340	107
380	341	106
381	342	105
382	343	104
383	344	103
384	344	103
385	345	102
386	346	101
387	347	100
388	347	99
389	348	98
390	349	97
391	350	96
392	351	95
393	351	94
394	352	93
395	353	92
396	354	92
397	355	91
398	356	90
399	356	89
400	357	88
401	358	87
402	359	86
403	360	85
404	360	84
405	361	83
406	362	82
407	363	81
408	364	81
409	364	80
410	365	79
411	366	78
412	367	77
413	367	76
414	368	75
415	369	74
416	370	73
417	370	72
418	371	71
419	372	70
420	373	70
421	374	69
422	374	68
423	375	67
424	376	66
425	377	65
426	377	64
427	378	63
428	379	62
429	380	61
430	380	60
431	381	60
432	382	59
433	383	58
434	384	57
435	384	56
436	385	55
437	386	54
438	387	53
439	387	52
440	388	51
441	389	51
442	390	50
443	391	49
444	392	48
445	393	47
446	393	46
447	394	45
448	395	44
449	396	44
450	396	43
451	397	42
452	398	41
453	399	40
454	399	39
455	400	38
456	401	37
457	402	36
458	402	35
459	403	35
460	404	34
461	405	33
462	405	32
463	406	31
464	407	30
465	408	29
466	409	28
467	409	28
468	410	27
469	411	26
470	412	25
471	412	24
472	413	23
473	414	22
474	415	21
475	415	20
476	416	20
477	417	19
478	418	18
479	418	17
480	419	16
481	420	15
482	421	14
483	421	13
484	422	13
485	423	12
486	424	11
487	424	10
488	425	9
489	426	8
490	427	7
491	427	6
492	428	6
493	429	5
494	430	4
495	430	3
496	431	2
497	432	1
498	433	0
499	433	0
