소재지전체주소,도로명전체주소
서울특별시 종로구 종로67길 3-16,서울특별시 종로구 종로67길 3-16
서울특별시 중구 충무로4가 12-1번지,서울특별시 중구 충무로2길 15
서울특별시 중구 신당동 67-138,서울특별시 중구 퇴계로88길 55
서울특별시 용산구 한강로2가 204번지,서울특별시 용산구 서빙고로5길 7
서울특별시 광진구 자양동 846-9,서울특별시 광진구 뚝섬로27길 45
서울특별시 동대문구 이문동 257-555번지,서울특별시 동대문구 이문로35마길 19
서울특별시 동대문구 휘경동 159,서울특별시 동대문구 휘경로14길 34
서울특별시 동대문구 이문동 257-48번지,서울특별시 동대문구 이문로35라길 19
서울특별시 동대문구 휘경동 154-20번지,서울특별시 동대문구 외대역동로 65-1
서울특별시 동대문구 용두동 756-3번지,서울특별시 동대문구 한빛로 41
서울특별시 동대문구 휘경동 191-5번지,서울특별시 동대문구 회기로 191
서울특별시 중랑구 면목동 618-1,서울특별시 중랑구 면목로42길 14
서울특별시 중랑구 묵동 165,서울특별시 중랑구 중랑역로 262
서울특별시 성북구 장위동 213-6번지,서울특별시 성북구 돌곶이로 196
서울특별시 성북구 길음동 1021-1번지,서울특별시 성북구 삼양로2길 19-8
서울특별시 성북구 보문동1가 109-2번지,서울특별시 성북구 인촌로 5
서울특별시 성북구 장위동 68-1014,서울특별시 성북구 장위로 122-3
서울특별시 성북구 길음동 541-100번지,서울특별시 성북구 길음로1길 27
서울특별시 노원구 상계동 95-1번지,서울특별시 노원구 덕릉로112길 6
서울특별시 노원구 상계동 138-193번지,서울특별시 노원구 수락산로 24
서울특별시 은평구 불광동 305-35번지,서울특별시 은평구 통일로78길 7
서울특별시 은평구 응암동 58-32번지,서울특별시 은평구 은평로18길 7-3
서울특별시 은평구 갈현동 6-4,서울특별시 은평구 갈현로 329
서울특별시 은평구 대조동 89-94번지,서울특별시 은평구 역말로 140
서울특별시 서대문구 남가좌동 295-1,서울특별시 서대문구 수색로4가길 14-23
서울특별시 마포구 상수동 281-1,서울특별시 마포구 토정로 144
서울특별시 마포구 공덕동 74-2번지,서울특별시 마포구 만리재옛길 75
서울특별시 양천구 신월동 161-9,서울특별시 양천구 남부순환로42길 17
서울특별시 강서구 가양동 54-8번지,서울특별시 강서구 양천로 398
서울특별시 강서구 염창동 267-22,서울특별시 강서구 공항대로59다길 101
서울특별시 영등포구 신길동 4668-4,서울특별시 영등포구 신길로8길 8
서울특별시 영등포구 대림동 916-7번지,서울특별시 영등포구 디지털로74길 10
서울특별시 영등포구 신길동 236-19번지,서울특별시 영등포구 신길로34길 12-8
서울특별시 동작구 흑석동 164-1번지,서울특별시 동작구 흑석로 119
서울특별시 동작구 대방동 44-5,서울특별시 동작구 등용로12길 14
서울특별시 동작구 흑석동 64-15,서울특별시 동작구 서달로10라길 3
서울특별시 관악구 신림동 304-1,서울특별시 관악구 호암로 529
서울특별시 관악구 신림동 1647-12번지,서울특별시 관악구 조원로11길 9
서울특별시 관악구 신림동 1655-21,서울특별시 관악구 시흥대로 지하
서울특별시 서초구 잠원동 38-9,서울특별시 서초구 신반포로49길 21
서울특별시 서초구 반포동 63-1,서울특별시 서초구 사평대로 160
서울특별시 서초구 방배동 961-10번지,서울특별시 서초구 방배중앙로9길 35-7
서울특별시 서초구 잠원동 52-2,서울특별시 서초구 잠원로14길 48
서울특별시 강남구 논현동 74-7번지,서울특별시 강남구 논현로 732
서울특별시 강남구 삼성동 58-1,서울특별시 강남구 학동로 524
서울특별시 송파구 문정동 139-15번지,서울특별시 송파구 송이로31길 36
서울특별시 강동구 상일동 131-2번지,서울특별시 강동구 고덕로80길 117
서울특별시 강동구 암사동 514-55번지,서울특별시 강동구 상암로4길 52
